epoch,train_loss,train_deg,val_loss,val_deg,val_deg_left,val_deg_right,lr,time_s
1,0.035199181984834634,10.944256960755775,0.008590125212711948,6.696547600016039,6.571741172245571,6.765086718967983,0.00029815325108927063,111.09
2,0.008678991391037226,6.623304250767327,0.006587905609714133,5.904862218080774,6.10294714144298,5.654715623174395,0.00029265847744427303,145.32
3,0.007169046696521892,6.048659417947009,0.00564818290461387,5.480102114615876,5.367058004651751,5.589239648410252,0.0002836509786282552,67.52
4,0.006111435186306326,5.543863904187292,0.0065275750987763915,5.733177683591815,5.517548561096191,5.972442558833531,0.0002713525491562421,61.24
5,0.005484355388912245,5.266670878819081,0.006669831861342702,5.948489197630585,5.823477728026254,6.094554730824062,0.0002560660171779821,60.64
6,0.0050513335586985725,5.056514911884328,0.0038767990855766194,4.383035315859429,4.639776596001217,4.221912579877036,0.000238167787843871,94.67
7,0.004472087242491978,4.72077916327748,0.004261972432556961,4.616135036112314,4.193371747221265,5.124569773674011,0.00021809857496093204,99.77
8,0.00407786331056157,4.508234077728032,0.008817549861435379,6.914723478900112,6.381517648696899,7.5068733010973245,0.00019635254915624216,64.85
9,0.0035753453925889754,4.247773574045177,0.003047570353373885,3.908921599473339,3.9793699043137685,3.873977925096239,0.00017346516975603468,122.69
10,0.003258091988266674,4.014718142173056,0.003751502704939672,4.240727851877517,4.363112126077924,4.184171140193939,0.00015000000000000001,59.33
11,0.002924190971869903,3.82253254579389,0.004169792286120355,4.501067311789807,3.916785887309483,5.174646854400635,0.0001265348302439654,61.86
12,0.002860051590644896,3.7797386931852306,0.0027278163636635456,3.6039237938235877,3.80234272139413,3.465056444917406,0.0001036474508437579,61.29
13,0.00227069718480574,3.3388035408779917,0.003908659131931407,4.307149558680082,4.248566108090537,4.441115353788648,8.190142503906799e-05,61.42
14,0.0020429611727885233,3.1787439198978906,0.002721319207921624,3.5964271123550122,3.6265733667782376,3.5882695572716847,6.183221215612905e-05,62.22
15,0.0016646989066777063,2.8225167649566973,0.002914562006480992,3.780333347983254,4.078564320291791,3.499500926051821,4.393398282201788e-05,68.21
16,0.0013817081133679194,2.6011059024299166,0.0023825606663844417,3.355141585710384,3.461516857147217,3.2742217012814114,2.86474508437579e-05,68.1
17,0.0012333520655502142,2.435524573478363,0.0031147486297413707,3.943211009113677,3.9682925002915517,3.9651664325169156,1.6349021371744834e-05,67.88
18,0.001041443083536764,2.2500350702382668,0.002478796606218176,3.476745297951981,3.6096215503556386,3.377886474132538,7.341522555726972e-06,86.92
19,0.0009235366599105212,2.112705827979172,0.002419941160561783,3.4213987047736967,3.545563612665449,3.324360374893461,1.8467489107293517e-06,86.58
20,0.0008808786651039866,2.0640742235251737,0.0024915539459990604,3.4841759415536147,3.6066795672689165,3.3939090243407657,0.0,86.87
